uri,notation,prefLabel,altLabel,inScheme,topConceptOf,theme,collections,broader,belongsTo,Validatiestatus
78,d13C,Isotopenverhouding koolstof 13 en 12,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,collectie:water,,,
79,d15N,Isotopenverhouding stikstof 15 en 14,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,collectie:water,,,
80,DE*ab,CIE 1976 totaal kleurverschil,kleur,conceptscheme:fysico-chemische-eigenschap,,gemet:6229|gemet:1322,collectie:water,18,,Status: done01.2026
81,Gewicht,Gewicht,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,collectie:water,,,
82,BioDegr,Biodegradeerbaarheid,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,collectie:water,,,
84,BZV5 rendement,Rendement BZV5 ten opzichte van influentbelasting,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,collectie:water,,,
85,CZV rendement,Rendement CZV ten opzichte van influentbelasting,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,collectie:water,,,
86,N t rendement,rendement N t tov influentbelasting,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,collectie:water,,,
87,Fol h2o_vlucht,Met waterdamp vluchtige fenolen,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,collectie:water,,,
88,CZV/BZV,CZV/BZV-verhoudingen,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,collectie:water,,,
89,BZV/N,BZV/N-verhouding,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,collectie:water,,,
