type,uri,vmmParameterId,notation,prefLabel,altLabel,inScheme,topConceptOf,theme,collection,broader
skos:Concept,cf:0161,,,Korrelgrootte < 32 µm,,vlcs:fysico-chemisch,,gemet:6229|gemet:1322,,cf:0331
skos:Concept,cf:0162,,,Korrelgrootte < 50 µm,,vlcs:fysico-chemisch,,gemet:6229|gemet:1322,,cf:0331
skos:Concept,cf:0163,,,Korrelgrootte > 2000 µm,,vlcs:fysico-chemisch,,gemet:6229|gemet:1322,,cf:0331
skos:Concept,cf:0164,,,Korrelgrootte < 2000 µm,,vlcs:fysico-chemisch,,gemet:6229|gemet:1322,,cf:0331
skos:Concept,cf:0165,,,Korrelgrootte < 355 µm,,vlcs:fysico-chemisch,,gemet:6229|gemet:1322,,cf:0331
skos:Concept,cf:0166,,,Asbest fractie van 1 mm tot 2mm,,vlcs:fysico-chemisch,vlcs:fysico-chemisch,gemet:6229|gemet:1322,,
skos:Concept,cf:0167,,,Asbest fractie van 2 mm tot 4 mm,,vlcs:fysico-chemisch,vlcs:fysico-chemisch,gemet:6229|gemet:1322,,
skos:Concept,cf:0168,,,Asbest fractie van 4 mm tot 8 mm,,vlcs:fysico-chemisch,vlcs:fysico-chemisch,gemet:6229|gemet:1322,,
skos:Concept,cf:0169,,,Asbest fractie van 8 mm tot 16 mm,,vlcs:fysico-chemisch,vlcs:fysico-chemisch,gemet:6229|gemet:1322,,
skos:Concept,cf:0170,,,Asbest fractie groter dan 16 mm,,vlcs:fysico-chemisch,vlcs:fysico-chemisch,gemet:6229|gemet:1322,,
skos:Concept,cf:0171,,,Zuurstofverzadiging,,vlcs:fysico-chemisch,vlcs:fysico-chemisch,gemet:6229|gemet:1322,,
skos:Concept,cf:0172,,,"Hardheid, totaal",,vlcs:fysico-chemisch,vlcs:fysico-chemisch,gemet:6229|gemet:1322,,
skos:Concept,cf:0173,,,"Korrelgrootte distributie <2µm, totaal",,vlcs:fysico-chemisch,vlcs:fysico-chemisch,gemet:6229|gemet:1322,,
skos:Concept,cf:0174,,,Aanwezigheid compacte laag,,vlcs:fysico-chemisch,vlcs:fysico-chemisch,gemet:6229|gemet:1322,,
skos:Concept,cf:0175,,,Aanwezigheid drainage,,vlcs:fysico-chemisch,vlcs:fysico-chemisch,gemet:6229|gemet:1322,,
skos:Concept,cf:0176,,,Aanwezigheid ijzeroerlaag,,vlcs:fysico-chemisch,vlcs:fysico-chemisch,gemet:6229|gemet:1322,,
skos:Concept,cf:0177,,,Aanwezigheid roest,,vlcs:fysico-chemisch,vlcs:fysico-chemisch,gemet:6229|gemet:1322,,
skos:Concept,cf:0178,,,Aanwezigheid schelpresten,,vlcs:fysico-chemisch,vlcs:fysico-chemisch,gemet:6229|gemet:1322,,
skos:Concept,cf:0179,,,Aard van de stenige bijmenging,,vlcs:fysico-chemisch,vlcs:fysico-chemisch,gemet:6229|gemet:1322,,
skos:Concept,cf:0180,,,Advanced Triaxiaal testing,,vlcs:fysico-chemisch,vlcs:fysico-chemisch,gemet:6229|gemet:1322,,
skos:Concept,cf:0181,,,"ASTM , de beschrijving",,vlcs:fysico-chemisch,vlcs:fysico-chemisch,gemet:6229|gemet:1322,,
