type,uri,vmmParameterId,notation,prefLabel,altLabel,inScheme,topConceptOf,theme,collection,broader
skos:Concept,cf:0088,1702,CZV/BZV,CZV/BZV-verhoudingen,,vlcs:fysico-chemisch,vlcs:fysico-chemisch,gemet:6229|gemet:1322,cof:water,
skos:Concept,cf:0089,1703,BZV/N,BZV/N-verhouding,,vlcs:fysico-chemisch,vlcs:fysico-chemisch,gemet:6229|gemet:1322,cof:water,
skos:Concept,cf:0090,1704,BZV/P,BZV/P-verhouding,,vlcs:fysico-chemisch,vlcs:fysico-chemisch,gemet:6229|gemet:1322,cof:water,
skos:Concept,cf:0091,1713,CZV/N,CZV/N-verhouding,,vlcs:fysico-chemisch,vlcs:fysico-chemisch,gemet:6229|gemet:1322,cof:water,
skos:Concept,cf:0092,1800,Deelgewicht 1,Gewicht fles 1 (neerslagwater),,vlcs:fysico-chemisch,,gemet:6229|gemet:1322,cof:water,cf:0081
skos:Concept,cf:0093,1801,Deelgewicht 2,Gewicht fles 2 (neerslagwater),,vlcs:fysico-chemisch,,gemet:6229|gemet:1322,cof:water,cf:0081
skos:Concept,cf:0094,1858,Bem verschil,Verschil tss wegingen bemonsterde filter,,vlcs:fysico-chemisch,vlcs:fysico-chemisch,gemet:6229|gemet:1322,cof:water,
skos:Concept,cf:0095,1860,Bem gem,Gemiddelde vd wegingen bemonsterde filter,,vlcs:fysico-chemisch,vlcs:fysico-chemisch,gemet:6229|gemet:1322,cof:water,
skos:Concept,cf:0096,2077,NC10-20,Deeltjesaantal 10-20 nm,,vlcs:fysico-chemisch,vlcs:fysico-chemisch,gemet:6229|gemet:1322,cof:water,
skos:Concept,cf:0097,2078,NC20-30,Deeltjesaantal 20-30 nm,,vlcs:fysico-chemisch,vlcs:fysico-chemisch,gemet:6229|gemet:1322,cof:water,
skos:Concept,cf:0098,2079,NC30-50,Deeltjesaantal 30-50 nm,,vlcs:fysico-chemisch,vlcs:fysico-chemisch,gemet:6229|gemet:1322,cof:water,
